iter	Logloss
0	0.6708127003
1	0.6442158106
2	0.6284829822
3	0.6100092626
4	0.588235433
5	0.5745829983
6	0.5671375891
7	0.5543440198
8	0.5469727171
9	0.5382717941
10	0.5329684804
11	0.5282813599
12	0.5185932931
13	0.5151149176
14	0.5109125867
15	0.5053791814
16	0.5034254345
17	0.5014588101
18	0.4994653589
19	0.4958327121
20	0.4919008134
21	0.4898330444
22	0.4871669589
23	0.4864029028
24	0.4857114786
25	0.482743415
26	0.4815165507
27	0.4809862894
28	0.477974753
29	0.4767641217
30	0.4748469119
31	0.4746250929
32	0.4722873428
33	0.4718886551
34	0.4698093441
35	0.4671056377
36	0.4652744727
37	0.4643124574
38	0.4629674135
39	0.4625546855
40	0.4574463396
41	0.4535895349
42	0.453365995
43	0.4531771781
44	0.4528387498
45	0.4526377809
46	0.4518647345
47	0.4515816274
48	0.4513490751
49	0.4513412334
50	0.451334157
51	0.4506091178
52	0.4476664391
53	0.4462304992
54	0.4461288107
55	0.4459611518
56	0.4450416041
57	0.444590903
58	0.4423840608
59	0.4411341106
60	0.4403548589
61	0.4378596168
62	0.4378578042
63	0.4355451923
64	0.4341749467
65	0.4330989918
66	0.4322690346
67	0.4311208107
68	0.4304925809
69	0.4274404347
70	0.4274262566
71	0.426407076
72	0.4264061967
73	0.4256280781
74	0.4253657886
75	0.4240953386
76	0.4240368557
77	0.4239766772
78	0.4236982535
79	0.423581309
80	0.4235812765
81	0.42358077
82	0.4235807627
83	0.4234180513
84	0.4231989648
85	0.4231980988
86	0.422117653
87	0.4212390978
88	0.4203884999
89	0.4203463088
90	0.4188364437
91	0.4187492648
92	0.4187100004
93	0.4182035662
94	0.4172829973
95	0.417282832
96	0.4171167176
97	0.4171164815
98	0.4171164074
99	0.4169614024
100	0.4164707386
101	0.4143873129
102	0.4143872601
103	0.413386073
104	0.4129190604
105	0.4118334809
106	0.4104298653
107	0.4087385817
108	0.4086330591
109	0.408632483
110	0.4066911617
111	0.4066592985
112	0.4057948454
113	0.405487637
114	0.4047590345
115	0.4039500169
116	0.4039498795
117	0.4037555255
118	0.4036445355
119	0.403644459
120	0.4036443634
121	0.4036420126
122	0.4016905637
123	0.4004553797
124	0.4004553351
125	0.3998826894
126	0.3987696317
127	0.3982383973
128	0.3982134447
129	0.3982133983
130	0.3980373914
131	0.3975637963
132	0.3973486539
133	0.3969206209
134	0.3965688342
135	0.3963713764
136	0.3963559722
137	0.3963559406
138	0.3962621782
139	0.3962214421
