Accuracy,Precision,Recall,F1,ROC-AUC,Threshold,Weight_CB
0.8385518590998043,0.18232044198895028,0.66,0.2857142857142857,0.8211522633744857,0.5,0.7
0.7759295499021527,0.14624505928853754,0.74,0.24422442244224424,0.8211522633744857,0.4,0.7
0.7045009784735812,0.12048192771084337,0.8,0.2094240837696335,0.8211522633744857,0.3,0.7
0.6614481409001957,0.11052631578947368,0.84,0.19534883720930232,0.8211522633744857,0.25,0.7
0.6223091976516634,0.1,0.84,0.17872340425531916,0.8211522633744857,0.2,0.7
