Feature,Importance
age,30.380373869214637
bmi,16.445041966883984
age_group,11.672076688031332
avg_glucose_level,11.624779147698193
smoking_status,9.30062310762912
work_type,7.031172460961684
gender,6.130888050399896
ever_married,3.5683348335618312
Residence_type,2.017375464765104
hypertension,1.5128852615689399
heart_disease,0.3164491492852568
